Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
544035,SPL,Swashthik Plascon Ltd,Active,M,10,INE0RDR01012,Capital Goods
544738,SPML,Speciality Medicines Ltd,Active,MT,10,INE0R0M01014,Healthcare
536710,SRGFFL,SRG Fingrow Finance Ltd,Active,M,10,INE326P01019,Financial Services
544399,SRIGEE,Srigee Dlm Ltd,Active,M,10,INE0RJ901010,Capital Goods
535466,SRL,Samruddhi Realty Ltd,S,M,10,INE621O01016,Realty
543615,SRSOLTD,Silicon Rental Solutions Ltd,Active,MT,10,INE0MNV01014,Services
544251,SSL,Share Samadhan Ltd,Active,M,10,INE0LY301010,Financial Services
544621,SSMD,SSMD Agrotech India Ltd,Active,MT,10,INE1U2R01013,Fast Moving Consumer Goods
539026,SSPNFIN,SSPN Finance Ltd,Active,M,10,INE820R01017,Financial Services
543461,SSTL,Safa Systems & Technologies Ltd,Active,M,10,INE0JNA01014,Services
544171,STAL,Storage Technologies and Automation Ltd,Active,MT,10,INE0RGM01016,Capital Goods
544659,STANBIK,Stanbik Agro Ltd,Active,M,10,INE16QA01011,Fast Moving Consumer Goods
544482,STARIMAGIN,Star Imaging And Path Lab Ltd,Active,M,10,INE0YG001013,Healthcare
536738,STELLAR,Stellar Capital Services Ltd,Active,M,10,INE325P01011,Financial Services
543622,STML,Steelman Telecom Ltd,Active,M,10,INE0MSK01016,Telecommunication
544267,SUBAM,Subam Papers Ltd,Active,M,10,INE0U6201010,Capital Goods
536671,SUBHTEX,Subh Tex (India) Ltd,D,MT,10,INE427O01018,Textiles
543828,SUDARSHAN,Sudarshan Pharma Industries Ltd,Active,MT,1,INE00TV01023,Chemicals
544501,SUGSLLOYD,Sugs Lloyd Ltd,Active,M,10,INE0XX801016,Capital Goods
542683,SUICH,Suich Industries Ltd,D,MT,10,INE00CU01013,Telecommunication
544001,SUNITATOOL,Sunita Tools Ltd,Active,MT,10,INE0Q1S01010,Capital Goods
542025,SUNRETAIL,Sun Retail Ltd,Active,M,1,INE206Z01020,Services
544566,SUNSKY,Sunsky Logistics Ltd,Active,M,2,INE10CM01027,Services
544381,SUPERIRON,Super Iron Foundry Ltd,Active,MT,10,INE16IQ01014,Capital Goods
780008,SUPERNOVA (ITP),Supernova Advertising Ltd (ITP),S,IP,10,INE018Q01010,-
541701,SUPERSHAKT,Supershakti Metaliks Ltd,Active,M,10,INE00SY01011,Capital Goods
543274,SUUMAYA,Suumaya Corporation Ltd,S,MT,10,INE0EMB01015,Textiles
543799,SVJ,S. V. J. ENTERPRISES Ltd,Active,M,10,INE0JZS01010,Forest Materials
543373,SVRL,Shri Venkatesh Refineries Ltd,Active,MT,10,INE0HLJ01013,Fast Moving Consumer Goods
543745,SVS,SVS Ventures Ltd,Active,M,10,INE0MID01012,Realty
544082,SWANAGRO,New Swan Multitech Ltd,Active,M,10,INE0GEN01012,Automobile and Auto Components
544368,SWASTH,Swasth Foodtech India Ltd,Active,M,10,INE0TIR01017,Fast Moving Consumer Goods
544452,SWASTIKAAL,Swastika Castal Ltd,Active,M,10,INE0PTF01017,Capital Goods
539842,SYSCO,Sysco Industries Ltd,D,MT,10,INE410U01011,Capital Goods
544541,SYSTEMATIC,Systematic Industries Ltd,Active,M,10,INE1KLZ01011,Capital Goods
544471,TAKYON,Takyon Networks Ltd,Active,M,10,INE14OX01013,Information Technology
540332,TANVI,Tanvi Foods (India) Ltd,Active,M,10,INE978V01015,Fast Moving Consumer Goods
538496,TARINI,Tarini International Ltd,Active,M,10,INE849M01017,Services
543991,TECHKGREEN,Techknowgreen Solutions Ltd,Active,M,10,INE0P4P01011,Services
544327,TECHNICHEM,Technichem Organics Ltd,Active,MT,10,INE0ZHT01012,Chemicals
543656,TECHNOPACK,Technopack Polymers Ltd,Active,M,10,INE0MXP01015,Consumer Durables
544544,TELGE,Telge Projects Ltd,Active,M,10,INE0SRP01014,Construction
537119,TENTIMETAL,Tentiwala Metal Products Ltd,D,M,10,INE486P01011,Metals & Mining
544175,TGIF,TGIF Agribusiness Ltd,Active,M,10,INE0SMU01015,Fast Moving Consumer Goods
544214,THREEMPAPE,Three M Paper Boards Ltd,Active,M,10,INE0UK501010,Forest Materials
543310,TIMESGREEN,Times Green Energy (India) Ltd,Active,M,10,INE0B6101012,Fast Moving Consumer Goods
544740,TIPCO,Tipco Engineering India Ltd,Active,MT,10,INE1U6D01014,Capital Goods
539985,TITAANIUM,Titaanium Ten Enterprise Ltd,Active,M,10,INE120V01014,Textiles
543616,TLL,Trident Lifeline Ltd,Active,M,10,INE0MKA01014,Healthcare
544594,TRADEUNO,Game Changers Texfab Ltd,Active,M,10,INE1GUJ01014,Textiles
543754,TRANSVOY,Transvoy Logistics India Ltd,Active,M,10,INE0MPU01011,Services
544242,TRAVELS,Travels & Rentals Ltd,Active,MT,10,INE0SG001011,Consumer Services
544531,TRUECOLORS,True Colors Ltd,Active,M,10,INE1LDV01015,Capital Goods
544303,TTC,Toss The Coin Ltd,Active,M,10,INE0XAY01012,"Media, Entertainment & Publication"
544464,UML,Umiya Mobile Ltd,Active,M,10,INE1P1A01018,Consumer Services
544406,UNIFIED,Unified Data Tech Solutions Ltd,Active,M,10,INE1ABX01018,Information Technology
544648,UNISEM,Unisem Agritech Ltd,Active,M,5,INE1FHV01026,Fast Moving Consumer Goods
537582,UNISHIRE,Unishire Urban Infra Ltd,Active,M,10,INE210P01015,Realty
544433,VALINDIA,Valencia India Ltd,Active,M,10,INE130701019,Consumer Services
544565,VALPLAST,Valplast Technologies Ltd,Active,M,10,INE0QP701017,Construction
544436,VANDAN,Vandan Foods Ltd,Active,M,10,INE0RDJ01019,Fast Moving Consumer Goods
544329,VANDU,Leo Dryfruits & Spices Trading Ltd,Active,M,10,INE0RH001011,Fast Moving Consumer Goods
540729,VANTABIO,Vanta Bioscience Ltd,Active,M,10,INE695X01011,Healthcare
544168,VARYAA,Varyaa Creations Ltd,Active,M,10,INE0R6801013,Consumer Durables
544508,VASHISHTHA,Vashishtha Luxury Fashion Ltd,Active,M,10,INE0WRP01016,Textiles
543623,VEDANTASSET,Vedant Asset Ltd,Active,MT,10,INE0NC801013,Financial Services
543931,VEEFIN,Veefin Solutions Ltd,Active,M,10,INE0Q0M01015,Information Technology
543545,VEERKRUPA,Veerkrupa Jewellers Ltd,Active,M,1,INE0ID001024,Consumer Durables
890163,VIDLIPP,Vidli Restaurants Ltd,D,M,10,IN9564S01017,-
544002,VIVAA,Vivaa Tradecom Ltd,Active,M,10,INE0PA601017,Textiles
543597,VOEPL,Virtuoso Optoelectronics Ltd,Active,M,10,INE0I0T01010,Consumer Durables
544011,VPL,Vrundavan Plantation Ltd,Active,M,10,INE0Q6901013,Services
544157,VRUDDHI,Vruddhi Engineering Works Ltd,Active,M,10,INE0OMZ01013,Capital Goods
544219,VVIPIL,VVIP Infratech Ltd,Active,M,10,INE0MNP01016,Utilities
541445,WAA,Waa Solar Ltd,Active,M,10,INE799N01012,Power
539337,WAAREE,Waaree Technologies Ltd,Active,MT,10,INE725P01012,Power
780016,WEBSL (ITP),Web Element Solutions Ltd (ITP),Active,IP,10,INE562Q01017,-
538128,WOMENSNEXT,Womens Next Loungeries Ltd,D,MT,10,INE174Q01011,Consumer Durables
544610,WORKMATES,Workmates Core2Cloud Solution Ltd,Active,M,10,INE1I1301016,Information Technology
544636,WOSAL,Western Overseas Study Abroad Ltd,Active,MT,10,INE1MF401019,Consumer Services
544676,YAJUR,Yajur Fibres Ltd,Active,M,10,INE0CNJ01010,Textiles
544708,YASHHTEJ,Yashhtej Industries (India) Ltd,Active,MT,10,INE1O6P01016,Fast Moving Consumer Goods
544310,YASHHV,Yash Highvoltage Ltd,Active,M,5,INE00GK01023,Capital Goods
540550,YUG,Yug Decor Ltd,Active,M,10,INE796W01019,Chemicals
544568,ZAPPFRESH,DSM Fresh Foods Ltd,Active,M,10,INE0SUM01015,Fast Moving Consumer Goods
544563,ZELIO,Zelio E Mobility Ltd,Active,MT,10,INE1B3501014,Automobile and Auto Components
538579,ZINEMA,Zinema Media And Entertainment Ltd,Active,MT,10,INE641Q01019,Services
